TimeISO,MAC,Name,sampleTimeFine,status,qw,qx,qy,qz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz
2025-07-24T15:38:53.553004,D4:22:CD:00:62:50,lw,30162355,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.553004,D4:22:CD:00:62:50,lw,30162521,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.584621,D4:22:CD:00:62:50,lw,30162688,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.584621,D4:22:CD:00:62:50,lw,30162855,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.616454,D4:22:CD:00:62:50,lw,30163021,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.616454,D4:22:CD:00:62:50,lw,30163188,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.648310,D4:22:CD:00:62:50,lw,30163355,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.680035,D4:22:CD:00:62:50,lw,30163521,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.680035,D4:22:CD:00:62:50,lw,30163688,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.713348,D4:22:CD:00:62:50,lw,30163855,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.713348,D4:22:CD:00:62:50,lw,30164021,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.744136,D4:22:CD:00:62:50,lw,30164188,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.744136,D4:22:CD:00:62:50,lw,30164355,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.775602,D4:22:CD:00:62:50,lw,30164521,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.775602,D4:22:CD:00:62:50,lw,30164688,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.807554,D4:22:CD:00:62:50,lw,30164855,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.807554,D4:22:CD:00:62:50,lw,30165021,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.823606,D4:22:CD:00:62:50,lw,30165188,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.854522,D4:22:CD:00:62:50,lw,30165355,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.854522,D4:22:CD:00:62:50,lw,30165521,0,,,,,,,,,,,,,,,,
2025-07-24T15:38:53.917825,D4:22:CD:00:62:50,lw,30165688,0,,,,,,,,,,,,,,,,
