DeviceTag: 4(left),FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-07-23 20:35:06.543,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
271214,0.3606,-0.0053,-0.0144,0.9326,-0.0217,-0.1936,0.4440,0
271380,0.3605,-0.0053,-0.0146,0.9326,-0.0086,-0.2033,0.4326,0
271547,0.3606,-0.0053,-0.0147,0.9326,-0.0204,-0.1933,0.4378,0
271714,0.3603,-0.0052,-0.0148,0.9327,-0.0184,-0.2056,0.4508,0
271880,0.3602,-0.0052,-0.0149,0.9328,-0.0239,-0.1890,0.4223,0
272047,0.3600,-0.0051,-0.0150,0.9328,-0.0248,-0.2057,0.4331,0
272214,0.3601,-0.0051,-0.0151,0.9328,-0.0358,-0.2053,0.3920,0
272380,0.3600,-0.0051,-0.0153,0.9328,-0.0239,-0.2044,0.4385,0
272547,0.3600,-0.0050,-0.0154,0.9328,-0.0226,-0.2029,0.4225,0
272714,0.3600,-0.0050,-0.0155,0.9328,-0.0399,-0.2198,0.4121,0
272880,0.3598,-0.0050,-0.0156,0.9329,-0.0131,-0.2277,0.4485,0
273047,0.3598,-0.0050,-0.0157,0.9329,-0.0100,-0.2165,0.4369,0
273214,0.3598,-0.0049,-0.0158,0.9329,-0.0145,-0.2246,0.4252,0
273380,0.3597,-0.0049,-0.0159,0.9329,-0.0120,-0.2231,0.4142,0
273547,0.3598,-0.0049,-0.0161,0.9329,-0.0298,-0.2212,0.4480,0
273714,0.3596,-0.0048,-0.0162,0.9329,-0.0096,-0.2282,0.4337,0
273880,0.3595,-0.0048,-0.0163,0.9330,-0.0155,-0.2328,0.4226,0
274047,0.3595,-0.0048,-0.0164,0.9330,-0.0208,-0.2311,0.4139,0
274214,0.3596,-0.0048,-0.0165,0.9330,-0.0101,-0.2311,0.4349,0
274380,0.3596,-0.0047,-0.0166,0.9330,-0.0225,-0.2424,0.4246,0
274547,0.3595,-0.0047,-0.0167,0.9330,-0.0251,-0.2304,0.4487,0
274714,0.3595,-0.0047,-0.0168,0.9330,-0.0262,-0.2409,0.4136,0
274880,0.3595,-0.0046,-0.0169,0.9330,-0.0252,-0.2363,0.4081,0
275047,0.3594,-0.0046,-0.0170,0.9330,-0.0256,-0.2379,0.4352,0
275214,0.3593,-0.0046,-0.0171,0.9331,-0.0222,-0.2502,0.4295,0
275380,0.3591,-0.0046,-0.0172,0.9331,-0.0284,-0.2483,0.4244,0
275547,0.3591,-0.0045,-0.0173,0.9331,-0.0208,-0.2587,0.4355,0
275714,0.3591,-0.0045,-0.0174,0.9331,-0.0276,-0.2587,0.4307,0
275880,0.3590,-0.0045,-0.0175,0.9332,-0.0289,-0.2717,0.4308,0
276047,0.3589,-0.0045,-0.0176,0.9332,-0.0286,-0.2517,0.4125,0
276214,0.3589,-0.0045,-0.0177,0.9332,-0.0241,-0.2527,0.4347,0
276380,0.3589,-0.0044,-0.0178,0.9332,-0.0245,-0.2585,0.4357,0
276547,0.3588,-0.0044,-0.0179,0.9332,-0.0318,-0.2574,0.4290,0
276714,0.3588,-0.0044,-0.0179,0.9332,-0.0515,-0.2510,0.4303,0
276880,0.3587,-0.0044,-0.0180,0.9333,-0.0148,-0.2562,0.4285,0
277047,0.3587,-0.0044,-0.0181,0.9333,-0.0143,-0.2643,0.4272,0
277214,0.3586,-0.0043,-0.0182,0.9333,-0.0235,-0.2753,0.4363,0
277380,0.3586,-0.0043,-0.0183,0.9333,-0.0309,-0.2640,0.4222,0
277547,0.3585,-0.0043,-0.0184,0.9334,-0.0254,-0.2763,0.4226,0
277714,0.3585,-0.0043,-0.0184,0.9333,-0.0256,-0.2751,0.4048,0
277880,0.3584,-0.0043,-0.0185,0.9334,-0.0274,-0.2823,0.4396,0
278047,0.3584,-0.0042,-0.0186,0.9334,-0.0168,-0.2890,0.4101,0
278214,0.3584,-0.0042,-0.0187,0.9334,-0.0477,-0.2836,0.4340,0
278381,0.3584,-0.0042,-0.0187,0.9334,-0.0259,-0.2850,0.4211,0
278547,0.3583,-0.0042,-0.0188,0.9334,-0.0217,-0.2818,0.4318,0
278714,0.3583,-0.0042,-0.0189,0.9334,-0.0388,-0.2830,0.4428,0
278881,0.3582,-0.0041,-0.0189,0.9334,-0.0374,-0.2808,0.4187,0
279047,0.3582,-0.0041,-0.0190,0.9334,-0.0167,-0.2826,0.4280,0
279214,0.3582,-0.0041,-0.0191,0.9334,-0.0219,-0.2912,0.4383,0
279381,0.3581,-0.0041,-0.0191,0.9335,-0.0336,-0.2793,0.4344,0
279547,0.3581,-0.0041,-0.0192,0.9335,-0.0391,-0.3112,0.4423,0
279714,0.3611,-0.0079,-0.0051,0.9325,-0.0192,0.0095,0.4388,0
279881,0.3611,-0.0079,-0.0050,0.9325,-0.0031,0.0146,0.4300,0
280047,0.3610,-0.0079,-0.0050,0.9325,-0.0116,-0.0045,0.4385,0
280214,0.3610,-0.0079,-0.0050,0.9325,-0.0005,0.0039,0.4347,0
280381,0.3610,-0.0079,-0.0050,0.9325,0.0002,-0.0007,0.4332,0
280547,0.3610,-0.0079,-0.0051,0.9325,-0.0048,0.0001,0.4334,0
280714,0.3610,-0.0079,-0.0051,0.9325,-0.0059,-0.0024,0.4267,0
280881,0.3610,-0.0079,-0.0051,0.9325,-0.0019,-0.0030,0.4222,0
281047,0.3610,-0.0079,-0.0051,0.9325,0.0111,-0.0002,0.4459,0
281214,0.3610,-0.0079,-0.0051,0.9325,-0.0109,-0.0043,0.4172,0
281381,0.3610,-0.0079,-0.0051,0.9325,-0.0127,0.0134,0.4417,0
281547,0.3610,-0.0079,-0.0051,0.9325,-0.0037,-0.0060,0.4306,0
281714,0.3610,-0.0079,-0.0051,0.9325,-0.0146,0.0022,0.4244,0
281881,0.3610,-0.0079,-0.0051,0.9325,-0.0015,0.0082,0.4415,0
282047,0.3610,-0.0079,-0.0051,0.9325,-0.0090,0.0082,0.4312,0
282214,0.3610,-0.0079,-0.0050,0.9325,0.0206,0.0066,0.4202,0
282381,0.3610,-0.0079,-0.0050,0.9325,0.0161,0.0115,0.4416,0
282547,0.3610,-0.0079,-0.0050,0.9325,-0.0090,-0.0043,0.4203,0
282714,0.3610,-0.0079,-0.0051,0.9325,-0.0253,-0.0072,0.4433,0
282881,0.3610,-0.0079,-0.0051,0.9325,-0.0025,0.0210,0.4043,0
